DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-206,In Progress,Upgrade,Core Network,IMS,214,196,80,16-Feb-25,16-Feb-25,22-Apr-25,18-Dec-25,18-Dec-25,31-Oct-25,305,305,3892,3892,2134.5,3881.6,0%,41%,84%,57%,Green,[In Prog] late start; actual End Date exceeds Today; Delivery Manager not assigned
DSFFLOW-1041,In Progress,Maiden Installation,Core Network,IMS,17,13,13,14-May-25,14-May-25,16-May-25,30-Apr-27,30-Apr-27,27-Jun-25,716,716,728,728,728,604,17%,100%,6%,100%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-2482,In Progress,Expansion,Core Network,EPC,24,24,2,09-Jun-25,09-Jun-25,24-Jun-25,12-Dec-25,12-Dec-25,,186,186,816,816,707,763,6%,8%,39%,87%,Red,[In Prog] efforts burnt outweighing work output; late start; 
DSFFLOW-3396,In Progress,Maiden Installation,BOS,Monetization Billing,19,19,10,15-Jun-25,15-Jun-25,28-Jul-25,31-Jul-25,10-Oct-25,,46,117,620.5,620.5,527,561,10%,53%,57%,85%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-3142,In Progress,Maiden Installation,Core Network,Cloud,115,115,0,06-Jul-25,06-Jul-25,15-Jul-25,14-Sep-25,14-Sep-25,,70,70,2441.85,2441.85,518,2403.85,2%,0%,63%,21%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-741,In Progress,Upgrade,Network Management,Element Management & Reporting,159,159,148,22-Apr-25,22-Apr-25,19-May-25,31-Aug-25,31-Aug-25,,131,131,4986,4986,4740.833333,5211.833333,-5%,93%,91%,95%,Red,[In Prog] projecting 5%+ EAC effort overrun; late start; 
DSFFLOW-2234,In Progress,Upgrade,Network Management,Element Management & Reporting,38,38,38,17-Jun-25,17-Jun-25,30-Jun-25,31-Oct-25,31-Oct-25,,136,136,652,652,501,501,23%,100%,47%,77%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-798,In Progress,Maiden Installation,Core Network,Cloud,77,77,0,05-May-25,01-Apr-25,03-Jun-25,30-Dec-25,20-Mar-26,,239,353,6839,6839,487.75,7613.5,-11%,0%,40%,8%,Red,[In Prog] projecting 5%+ EAC effort overrun; time ticking without any work progress; late start; 
DSFFLOW-1729,In Progress,Upgrade,Network Management,Element Management & Reporting,67,64,24,07-May-25,07-May-25,09-Jun-25,31-Oct-25,31-Oct-25,,177,177,1240,1200,487,1187,1%,38%,59%,41%,Green,[In Prog] late start; 
DSFFLOW-447,In Progress,Upgrade,BOS,Monetization Billing,37,37,15,01-Apr-25,01-Apr-25,20-May-25,05-Dec-25,05-Dec-25,,248,248,10676.2,10676.2,5801.899722,9951.2,8%,41%,57%,54%,Green,[In Prog] late start; 
